Size (sq ft),Location,Security,Garage,Floor_Number,Number_of_Rooms,Built_Year,Price (in $1000s)
1812,1,1,1,11,10,1983,327.8
3744,1,1,1,2,8,1988,447.76
3324,1,1,0,3,5,2003,367.95
1731,0,1,0,6,2,2019,188.47
1010,1,1,1,2,10,2014,242.29
1401,0,0,1,12,2,2023,151.09
2858,0,1,0,13,10,2007,357.05
2827,0,0,1,3,5,2004,286.43
2309,0,1,1,2,9,2021,311.52
1048,1,1,0,3,3,2005,169.63
2351,1,0,0,4,2,1996,246.9
2012,0,1,1,13,9,2006,289.55
1504,1,1,0,8,10,1987,279.91
3500,1,1,0,1,10,2020,449.18
1149,1,1,0,7,9,2021,236.23
2678,0,0,1,13,4,1988,236.82
1002,1,0,1,12,2,2012,150.15
2145,1,0,1,5,6,2010,279.86
1206,1,0,1,1,8,2016,229.25
2010,0,1,1,13,10,2005,273.08
1551,1,1,1,6,9,2003,279.34
3897,1,1,1,11,4,2021,422.26
3616,0,1,1,3,3,1994,332.88
3172,1,0,1,8,3,2007,349.67
548,1,1,1,14,3,2023,172.77
1487,1,0,1,4,8,1999,255.13
3694,0,0,0,4,7,1985,351.47
2250,0,1,0,3,5,1999,230.51
3979,1,1,0,15,5,1995,428.49
3117,1,0,1,7,5,1990,341.74
3198,0,1,1,7,5,2007,331.2
736,0,0,0,2,3,1982,78.78
3201,0,0,0,6,3,1992,262.59
2970,0,1,0,5,3,1991,255.07
2330,1,1,0,12,9,2021,349.19
2150,1,0,1,7,4,1998,250.71
2042,1,0,1,11,9,1997,320.91
1694,0,1,1,3,5,2007,211.06
2132,1,0,1,5,6,1998,297.57
1975,0,0,0,10,2,2013,181.25
1455,0,1,1,8,3,1985,171
3872,1,0,1,10,5,2023,429.55
1873,1,0,1,10,7,2013,276.22
1429,1,1,1,9,7,2020,258.11
2121,0,0,0,10,4,1999,193.83
3259,0,0,1,4,9,2008,362.58
2005,1,0,1,12,7,2015,297.26
1122,0,0,0,14,9,1986,168.44
3351,0,1,0,7,8,1999,370.05
1200,1,0,1,8,4,1980,176.37
583,1,0,0,12,3,1998,99.96
3635,1,0,1,1,5,1994,379.75
2644,1,1,1,2,4,1998,324.71
2981,1,0,0,13,6,2024,347.28
1761,1,1,0,7,4,1997,244.27
3290,0,0,0,14,8,2016,335.16
2701,1,1,1,1,5,2023,344.27
