Date,Season,Temperature,Humidity,Wind_Speed,Pressure,Rain
1/1/2018,Winter,23.72,89.59,7.34,1032.38,1
1/2/2018,Winter,27.88,46.49,5.95,992.61,0
1/3/2018,Winter,25.07,83.07,1.37,1007.23,0
1/4/2018,Winter,23.62,74.37,7.05,982.63,1
1/5/2018,Winter,20.54,96.86,4.64,980.83,0
1/6/2018,Winter,26.15,48.22,15.26,1049.74,0
1/7/2018,Winter,20.94,40.8,2.23,1014.17,0
1/8/2018,Winter,28.29,51.85,2.87,1006.04,0
1/9/2018,Winter,27.09,48.06,5.57,993.73,0
1/10/2018,Winter,29.59,82.98,5.76,1036.5,1
1/11/2018,Winter,29.79,81.32,16.93,1029.4,0
1/12/2018,Winter,23.22,76.88,15.83,980.11,1
1/13/2018,Winter,24.2,45.15,11.57,1033.99,0
1/14/2018,Winter,33.14,90.33,5.77,987.8,0
1/15/2018,Spring,11.78,96.96,6.38,1046.4,0
1/16/2018,Spring,22.18,67.21,11.84,1003.29,0
1/17/2018,Spring,25.51,75.46,14.8,1011.58,1
1/18/2018,Spring,30.82,65.05,7.68,980.35,0
1/19/2018,Spring,29.45,49.85,10.19,1037.71,0
1/20/2018,Spring,31.75,50.03,17.76,1001.57,0
1/21/2018,Spring,34.47,51.94,13,1018.95,0
1/22/2018,Spring,29.98,43.36,10.71,1044.86,0
1/23/2018,Spring,21.54,93.13,1.42,990.94,1
1/24/2018,Spring,29.51,90.09,3.52,1040.71,0
1/25/2018,Spring,12.96,62.31,4.02,1015.02,0
1/26/2018,Spring,26,55.71,12.46,1044.71,0
1/27/2018,Spring,13.58,95.74,2.16,1037.56,1
1/28/2018,Spring,33.62,45.57,0.58,1011.01,0
1/29/2018,Spring,23.05,68.75,7.21,986.21,0
1/30/2018,Spring,20.37,33.81,14.38,982.11,0
1/31/2018,Spring,16.61,43.38,13.86,1041.2,0
2/1/2018,Spring,29.36,72.28,15.85,1013.2,0
2/2/2018,Spring,21.4,76.35,13.92,1026.46,0
2/3/2018,Spring,24.21,70.67,12.27,1041.72,1
2/4/2018,Spring,10.47,90.87,9.72,1001.33,1
2/5/2018,Spring,25.44,99.54,4.17,1042.7,0
2/6/2018,Spring,25.3,83.47,11.37,981.93,0
2/7/2018,Spring,25.42,62.56,12.73,999.59,0
2/8/2018,Spring,33.59,88.38,2.47,1036.82,0
2/9/2018,Spring,27.05,38.43,11.3,1039.73,0
2/10/2018,Spring,18.99,77.83,1.95,1046.14,0
2/11/2018,Spring,20.93,66.28,10.94,1001.21,0
2/12/2018,Spring,27.44,42.46,3.18,1034.62,0
2/13/2018,Spring,11.51,98.11,2.38,1048.96,1
2/14/2018,Spring,26.67,53.69,2.26,1016.89,0
2/15/2018,Spring,26.77,73.08,18.22,997.68,0
2/16/2018,Spring,15.26,91.5,11.96,982.73,0
2/17/2018,Spring,13.22,65.47,5,1033.18,0
2/18/2018,Spring,17.89,38.06,1.43,989.72,0
2/19/2018,Spring,19.09,87.31,10.72,1007.09,1
2/20/2018,Spring,24.25,54.72,2.9,1001.65,0
2/21/2018,Spring,20.97,98.81,15.57,1009.18,0
2/22/2018,Spring,34.71,91.87,9.92,1043.42,0
2/23/2018,Spring,12.55,89.74,14.53,1009.82,1
2/24/2018,Spring,15.22,54.94,7.91,1043.89,0
2/25/2018,Spring,14.03,83,14.05,1036.38,0
2/26/2018,Spring,26.33,99.04,13.69,1000.19,0
2/27/2018,Spring,16.33,66.84,11.23,1002.27,0
2/28/2018,Spring,21.66,62.95,16.91,1005.89,0
3/1/2018,Spring,16.11,31.03,11.65,1022.4,0
3/2/2018,Spring,13.97,79.01,11.56,1027.18,0
3/3/2018,Spring,12.76,90.09,6.16,1048.06,0
3/4/2018,Spring,26.41,47.32,18.63,1044.86,0
3/5/2018,Spring,13.45,52.05,10.34,1022.83,0
3/6/2018,Spring,14.91,65.05,7.83,983.24,0
3/7/2018,Spring,19.22,35.05,10.83,1018.17,0
3/8/2018,Spring,30.52,36.27,2.9,1008.25,0
3/9/2018,Spring,12.43,59.48,5.3,1018.13,0
3/10/2018,Spring,30.95,48.29,6.13,982.81,0
3/11/2018,Spring,12.4,58.42,10.3,1049.7,0
3/12/2018,Spring,34.41,61.81,13.91,983.99,0
3/13/2018,Spring,21.72,98.34,5.74,999.09,0
3/14/2018,Spring,34.42,96.1,2.72,985.05,0
3/15/2018,Spring,25.12,39.78,11.18,1018.33,0
3/16/2018,Summer,28.48,91.78,17.09,1004.63,0
3/17/2018,Summer,10.98,35.61,8.36,1006.27,0
3/18/2018,Summer,17.07,65.53,9.52,1035.24,0
3/19/2018,Summer,13,41.47,5.78,1043.28,0
3/20/2018,Summer,17.4,55.61,16.18,991.6,0
3/21/2018,Summer,12.97,82.03,2.41,999.53,1
3/22/2018,Summer,17.95,59.72,3.42,1013.09,0
3/23/2018,Summer,20.36,86.49,20,987.9,0
3/24/2018,Summer,11.6,80.32,13.64,1007.06,1
3/25/2018,Summer,27.31,96,10.96,1001.15,0
3/26/2018,Summer,24.17,67.39,15.9,1044.54,0
3/27/2018,Summer,16.63,86.15,19.94,993.9,0
3/28/2018,Summer,23.08,52.6,3.82,1030.48,0
3/29/2018,Summer,12.35,54.2,15.83,995.11,0
3/30/2018,Summer,24.4,58.04,6.84,1023.8,0
3/31/2018,Summer,33.23,58.76,14.62,1020.74,0
4/1/2018,Summer,17.96,37.23,14.15,1012.11,0
4/2/2018,Summer,26.69,66.34,19.97,1037.18,0
4/3/2018,Summer,13.29,36.78,2.24,995.59,0
4/4/2018,Summer,27.91,92.28,0.04,1013.41,0
4/5/2018,Summer,17.24,34.33,14.96,1048.77,0
4/6/2018,Summer,14.58,61.48,11.38,992.83,0
