Date,Season,Temperature,Humidity,Wind_Speed,Pressure,Rain
01/01/2005,Winter,20.34,87.23,6.24,994.44,0
01/02/2005,Winter,17.71,56.17,4.35,1005.7,0
01/03/2005,Winter,17.38,64.56,7.27,1016.59,0
01/04/2005,Winter,16.67,53.36,7.31,993.19,0
01/05/2005,Winter,17.38,54.73,3.35,1004.04,0
01/06/2005,Winter,18.37,63.23,3.86,1005.9,0
01/07/2005,Winter,19.2,60.57,6.91,1021.96,0
01/08/2005,Winter,15.86,55.11,2.93,1000.0,0
01/09/2005,Winter,18.05,68.61,2.8,1021.44,0
01/10/2005,Winter,19.48,61.86,3.88,1014.86,0
01/11/2005,Winter,21.58,60.48,2.15,1017.6,1
01/12/2005,Winter,21.79,50.43,5.08,1013.71,0
01/13/2005,Winter,19.71,69.06,1.45,1026.26,1
01/14/2005,Winter,18.44,71.09,9.31,1010.99,1
01/15/2005,Winter,15.42,74.26,5.94,1028.57,0
01/16/2005,Winter,18.44,62.55,3.44,983.07,0
01/17/2005,Winter,17.49,55.93,5.5,1001.66,0
01/18/2005,Winter,15.59,67.23,6.0,982.22,0
01/19/2005,Winter,17.32,63.54,7.39,1026.8,0
01/20/2005,Winter,18.26,61.19,8.54,999.1,0
01/21/2005,Winter,20.53,69.73,7.17,1003.84,0
01/22/2005,Winter,18.27,78.8,5.27,990.04,1
01/23/2005,Winter,17.19,77.12,3.35,1009.18,0
01/24/2005,Winter,19.41,72.69,6.81,1024.16,0
01/25/2005,Winter,21.52,57.07,2.33,1013.62,0
01/26/2005,Winter,20.28,70.51,1.58,989.41,0
01/27/2005,Winter,16.55,62.85,2.5,984.39,0
01/28/2005,Winter,20.07,59.15,9.7,980.74,0
01/29/2005,Winter,20.5,48.72,3.17,984.08,1
01/30/2005,Winter,17.6,70.34,9.7,1019.3,1
01/31/2005,Winter,19.71,67.59,2.71,1007.51,0
02/01/2005,Winter,17.19,60.46,7.67,982.12,0
02/02/2005,Winter,17.84,63.04,3.57,1026.99,1
02/03/2005,Winter,20.59,66.25,2.35,1027.76,0
02/04/2005,Winter,22.69,54.36,7.93,1014.22,0
02/05/2005,Winter,22.4,75.12,7.95,1024.79,1
02/06/2005,Winter,21.33,48.58,1.26,983.0,1
02/07/2005,Winter,19.42,73.27,4.0,1012.39,0
02/08/2005,Winter,23.29,68.75,1.58,1015.29,0
02/09/2005,Winter,23.13,69.55,3.01,1000.09,0
02/10/2005,Winter,22.88,55.74,5.92,1033.21,0
02/11/2005,Winter,21.84,60.46,5.64,982.72,0
02/12/2005,Winter,19.32,69.42,8.82,996.75,0
02/13/2005,Winter,22.08,56.11,1.18,994.92,0
02/14/2005,Winter,22.65,63.06,9.53,992.54,0
02/15/2005,Winter,22.33,65.81,1.97,1008.85,0
02/16/2005,Winter,24.37,62.45,2.04,983.23,0
02/17/2005,Winter,24.52,61.15,5.78,1005.18,0
02/18/2005,Winter,19.6,65.09,3.52,1026.21,0
02/19/2005,Winter,23.72,68.92,3.63,1024.9,0
02/20/2005,Winter,21.38,44.53,1.67,988.13,0
02/21/2005,Winter,19.57,84.76,6.51,1005.55,0
02/22/2005,Winter,23.53,75.63,3.53,1002.62,0
02/23/2005,Winter,22.14,52.45,9.26,1025.71,0
02/24/2005,Winter,24.28,77.16,9.7,1009.13,0
02/25/2005,Winter,24.79,72.19,4.34,1006.47,0
02/26/2005,Winter,20.28,52.53,6.15,1012.45,0
02/27/2005,Winter,20.76,70.59,8.47,1004.51,0
02/28/2005,Winter,22.67,95.88,1.07,1031.89,1
03/01/2005,Summer,20.6,65.35,5.67,1024.77,1
03/02/2005,Summer,23.54,68.84,9.76,981.7,0
03/03/2005,Summer,23.74,60.3,1.9,995.22,0
03/04/2005,Summer,23.9,64.28,6.89,1001.76,0
03/05/2005,Summer,25.33,61.07,9.58,1017.73,0
03/06/2005,Summer,20.24,52.72,4.35,984.89,0
03/07/2005,Summer,25.29,58.23,6.87,1032.25,0
03/08/2005,Summer,20.95,54.09,9.57,1003.97,1
03/09/2005,Summer,24.52,62.67,8.63,993.57,0
03/10/2005,Summer,24.4,61.55,9.6,987.42,0
03/11/2005,Summer,25.59,68.95,5.22,1030.59,0
03/12/2005,Summer,24.73,43.48,5.57,980.28,1
03/13/2005,Summer,26.29,85.0,3.62,1029.95,1
03/14/2005,Summer,24.54,63.6,9.58,1006.18,0
03/15/2005,Summer,22.77,65.42,6.84,998.8,0
03/16/2005,Summer,22.34,78.22,8.18,1004.04,0
03/17/2005,Summer,25.03,56.13,2.01,1013.64,0
03/18/2005,Summer,24.64,67.1,6.63,998.24,0
03/19/2005,Summer,25.08,60.29,3.33,1028.87,0
03/20/2005,Summer,25.74,78.55,3.34,980.03,0
03/21/2005,Summer,24.9,63.83,6.82,1007.82,0
03/22/2005,Summer,24.83,75.09,9.98,999.85,0
03/23/2005,Summer,27.57,47.0,8.27,1022.04,0
03/24/2005,Summer,26.2,57.74,3.41,1024.71,0
03/25/2005,Summer,27.72,75.5,7.99,1000.31,0
03/26/2005,Summer,28.43,66.06,9.27,1018.33,0
03/27/2005,Summer,28.77,41.65,1.45,1001.54,0
03/28/2005,Summer,27.87,69.73,2.0,1028.98,0
03/29/2005,Summer,25.98,61.54,6.57,1016.17,1
03/30/2005,Summer,25.7,68.82,9.58,988.56,1
03/31/2005,Summer,29.12,71.92,6.43,1009.79,1
04/01/2005,Summer,29.64,79.91,9.28,999.79,0
04/02/2005,Summer,27.29,63.93,4.9,992.98,0
04/03/2005,Summer,25.56,43.64,7.06,991.59,0
04/04/2005,Summer,26.94,58.29,8.41,1034.73,1
04/05/2005,Summer,28.83,65.65,6.53,996.5,0
04/06/2005,Summer,27.59,67.91,2.21,1018.22,0
04/07/2005,Summer,25.34,53.07,3.5,991.49,0
04/08/2005,Summer,28.82,76.21,7.59,1012.34,0
04/09/2005,Summer,29.81,56.67,5.15,984.18,1
04/10/2005,Summer,28.4,70.95,1.62,1001.83,0
04/11/2005,Summer,24.29,76.5,2.85,995.86,0
04/12/2005,Summer,27.01,63.59,6.62,1005.85,0
04/13/2005,Summer,28.2,60.47,5.3,1014.13,1
04/14/2005,Summer,31.2,75.93,9.72,1005.3,0
04/15/2005,Summer,30.82,72.64,2.26,1000.42,0
04/16/2005,Summer,29.64,66.92,4.78,1000.24,0
04/17/2005,Summer,29.75,67.32,9.18,1005.03,0
04/18/2005,Summer,28.43,58.69,8.39,1018.79,0
04/19/2005,Summer,31.24,60.32,3.24,1019.31,0
04/20/2005,Summer,27.88,46.11,7.56,1018.41,0
04/21/2005,Summer,31.92,82.06,5.32,988.54,0
04/22/2005,Summer,29.01,63.41,5.43,1001.32,0
04/23/2005,Summer,32.08,49.72,7.86,1032.31,0
04/24/2005,Summer,28.08,63.79,8.78,989.31,1
04/25/2005,Summer,28.41,64.94,1.26,1028.56,1
04/26/2005,Summer,30.66,73.83,8.61,1022.96,1
04/27/2005,Summer,27.88,85.89,1.81,1028.28,0
04/28/2005,Summer,27.66,93.41,5.92,1014.38,0
04/29/2005,Summer,34.56,67.17,7.68,1018.62,0
04/30/2005,Summer,29.75,73.2,9.96,1032.73,1
